job_id,source_url,search_job_title,search_location,search_radius_miles,scraped_job_title,recruiter_name,job_location_text,salary_benefits,description_snippet,responsibilities_snippet
f1c95e3c-0697-4530-b3b3-18b1449a4fa7,https://www.cv-library.co.uk/mechanical-design-engineer-jobs-in-leicester?distance=35&us=1,mechanical design engineer,Leicester,35 miles,Mechanical Design Engineer,Concept Technical,,£,"Permanent Mechanical Design Engineer – Derby Area. Salary: £38,000 - £40,000 DOE. Hours: 37-hour week (Mon–Thu: 8:00–16:00, Fri: 8:00–15:30. About the Role. We are seeking a Mechanical Design Engineer to join our clients team in the Derby area, working on …",
7c71d590-84c0-4b0d-ae8a-37f7d74d037c,https://www.cv-library.co.uk/mechanical-design-engineer-jobs-in-leicester?distance=35&us=1,mechanical design engineer,Leicester,35 miles,Mechanical Design Engineer,Belcan,,,Contract Position: Mechanical Design Engineer. Location: Castle Donington - Hybrid/Flexible. Contract: Outside IR35. Type: Full-Time. The Role. This is a contract outside IR35 role working on a project involving designing a range of turbomachinery related components. Key …,
18112d78-e4b0-4b24-bae4-6501c7c318ed,https://www.cv-library.co.uk/mechanical-design-engineer-jobs-in-leicester?distance=35&us=1,mechanical design engineer,Leicester,35 miles,Mechanical Design Engineer,Hays Construction and Property,,£,"Permanent We are recruiting on behalf of a well-established, family-run mechanical contractor based in Derbyshire. With a strong reputation for quality and reliability, the company specialises in mechanical building services for multiroom residential developments and large-scale warehouse …",
89a157cf-d92e-4fda-b103-c6b688ce0c22,https://www.cv-library.co.uk/mechanical-design-engineer-jobs-in-leicester?distance=35&us=1,mechanical design engineer,Leicester,35 miles,Mechanical Design Engineer,Hunter Selection,,£,"Permanent Senior Design Engineer. Market Harborough. £55,000. 25 days holiday + banks. bonus scheme. Annual payrise. Discounts and vouchers. EAP. Life Assurance. Training and progressionWe're looking for experienced design engineers with a passion for military/ defense …",
8e10b0fe-e792-46ba-a5cd-5a48fde04131,https://www.cv-library.co.uk/mechanical-design-engineer-jobs-in-leicester?distance=35&us=1,mechanical design engineer,Leicester,35 miles,Mechanical Design Engineer,Rise Technical Recruitment,,£,"Permanent Mechanical Design Engineer. Derby. £35,000 - £40,000 per annum + Training + Progression + Holiday + Pension. Are you an experienced Mechanical Design Engineer looking for a long-term opportunity with a respected engineering business. …",
9a54289f-fd47-4dc9-902c-695408ae3860,https://www.cv-library.co.uk/mechanical-design-engineer-jobs-in-leicester?distance=35&us=1,mechanical design engineer,Leicester,35 miles,Mechanical Design Engineer,Global Recruitment Services Ltd,,£,Permanent We are currently looking for an experienced Mechanical Design Engineer to work for one of our clients in Burton on Trent. The client is a market-leading manufacturer of specialist equipment to a range of industry sectors including heavy engineering and aerospace. …,
0d0b723d-f135-4de4-b449-922296e689a4,https://www.cv-library.co.uk/mechanical-design-engineer-jobs-in-leicester?distance=35&us=1,mechanical design engineer,Leicester,35 miles,Mechanical Design Engineer,Global Recruitment Services Ltd,,£,Permanent We are currently looking for an experienced Mechanical Design Engineer to work for one of our clients in Burton on Trent. The client is a market-leading manufacturer of specialist equipment to a range of industry sectors including heavy engineering and aerospace. …,
afeea730-3945-4f05-8d16-eaccc1b238d5,https://www.cv-library.co.uk/mechanical-design-engineer-jobs-in-leicester?distance=35&us=1,mechanical design engineer,Leicester,35 miles,Mechanical Design Engineer,Anderselite,,£,Permanent We are currently recruiting for a Mechanical Design Engineer in the Severn Trent region. You will report directly to the Principal Engineer and your role will be to provide superior quality Engineering Design services to allow the company to …,
5fd13ef8-1e25-43e0-82b6-2488cffb011c,https://www.cv-library.co.uk/mechanical-design-engineer-jobs-in-leicester?distance=35&us=1,mechanical design engineer,Leicester,35 miles,Mechanical Design Engineer,Options Resourcing Ltd,,,"Permanent A well-established engineering manufacturer, recognised for its high-quality hydraulic and fluid power systems, is seeking an experienced Mechanical Design Engineer to join their close-knit design team. This is a great opportunity to work on innovative …",
70a1a75c-44ad-42c9-86a5-3bde6e10626b,https://www.cv-library.co.uk/mechanical-design-engineer-jobs-in-leicester?distance=35&us=1,mechanical design engineer,Leicester,35 miles,Mechanical Design Engineer,Owen Daniels,,£,"Permanent Job Title: Mechanical Design Engineer. Salary: £40,000 – £50,000 per annum (depending on experience. Location: Walsall. Due to the nature of the work, this position is only open to British nationals eligible for UK security clearance. About the Company. A well-established …",
